NO.,이름,힌트1,힌트2,힌트3,힌트4,힌트5
1,갈리미무스,나는 백악기 몽골에 살았던 초식공룡이야.,나는 두 다리로 최고 시속 55km까지 달릴 수 있어. ,내 이름의 뜻은 닭을 닮은 도마뱀이야.,나는 포식자들로부터 빠른 속도로 도망칠 수 있었어,나는 영화 쥐라기 공원에 등장해서 유명해졌어
2,기가노토사우루스,나는 백악기 남아메리카에 살았던 육식공룡이야.,내 이빨은 바나나만큼 커.,내 이름의 뜻은 거대한 남쪽의 도마뱀이야.,나는 거대한 크기에 비해 먹이를 무는 힘이 약했어,나는 남아메리카에서 주로 용각류를 사냥했어
3,노토사우루스,"나는 트라이아스기 북아프리카, 유럽, 중국에 살았던 수장룡이야.",나는 바다와 육지를 오가며 바다표범같이 살았어.,내 이름의 뜻은 가짜 도마뱀이야.,나는 다른 바다 포식자를 피하거나 알을 낳기 위해  종종 육지로 나왔어.,나는 기다란 몸에 비해 다리가 짧고 발가락 사이 막이 있었어
4,데이노니쿠스,나는 백악기 북아메리카에 살았던 육식공룡이야.,나는 10cm가 넘는 날카로운 두번째 발톱을 갖고 있어.,내 이름의 뜻은 무서운 발톱이야.,나는 몸이 깃털로 덮여있었어,나는 시속 50km로 빠르게 움직이며 사냥했어
5,디모르포돈,"나는 쥐라기 유럽, 북아메리카에 살았던 익룡이야.",나는 크기에 비해 머리가 큰 익룡이야.,내 이름의 뜻은 두 가지 모양의 이빨이야.,나는 날개가 몸에 비해 지나치게 짧고 머리가 너무 커서 현생 고양이처럼 땅 위를 뛰어다니며 사냥감을 쫓았을 것으로 추정되고 있어.,나는 영화 쥐라기 월드에 등장하는데 고증에서 벗어나 실제랑은 다르게 괴물과 가까운 모습으로 등장하고 있어.
6,디플로도쿠스,나는 쥐라기 북아메리카에 살았던 초식공룡이야.,나는 다른 용각류보다 두 배 이상 긴 꼬리를 가졌어.,내 이름의 뜻은 두 개의 대들보이야.,나는 거친 식물들을 많이 먹어서  35일마다 이빨을 새로 갈았어,나는 꼬리를 휘두르는 속도가 최고 속도 음속의 1.5배로 매우 강력했어 
7,딜로포사우루스,나는 쥐라기 북아메리카에 살았던 육식공룡이야.,내 머리에 한 쌍의 볏이 있어.,내 이름의 뜻은 볏이 두 개인 도마뱀이야.,내 머리에 있는 한 쌍의 볏은 주로 이성을 유혹하는데 쓰인 것으로 추측되고 있어.,나는 영화 쥐라기 공원에서 독을 사용하는 공룡으로 나오지만 실제로는 독이 없었어
8,람포링쿠스,"나는 쥐라기 유럽, 아프리카에 살았던 익룡이야.",나는 현재의 갈매기처럼 주로 물고기를 사냥해.,내 이름은 부리 주둥이란 뜻이야.,내가 잡아먹은 물고기가 화석으로 남은 경우가 많아,나는 BBC 공룡 대탐험에 등장해서  유명해졌어
9,리오플레우로돈,나는 쥐라기 유럽에 살았던 수장룡이야.,나는 BBC 공룡 대탐험에 등장한 수장룡이야.,내 이름의 뜻은 매끄러운 측면의 이빨이야.,나는 뛰어난 후각을 활용해 저보다 몸집이 잡은 해양 파충류 등을 잡아먹었어.,"나는 과거 몸길이 25m, 무게 150t으로 추정했으나 잘못된 수치로 밝혀져 현재는 수정되었어."
10,마이아사우라,나는 백악기 북아메리카에 살았던 초식공룡이야.,나는 모성애가 아주 강하고 꼬리를 가졌어.,내 이름의 뜻은 착한 어미 도마뱀이야.,내 둥지에서 알과 새끼들을 집단으로 돌본 화석이 발견되었어.,나는 세계 최초로 우주여행을 경험한 공룡이야. 1985년 내 화석 일부와 알 껍질 화석이 미국 우주 왕복선에 타서 우주를 여행했었지.
